ice_symbol,symbol_root,product,location,molecule,native_uom,convert_to_$usg,quarter_numb,quarter_pos,component_months,component_symbols
%PRL F!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL G!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL H!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL J!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL K!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL M!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL N!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL Q!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL U!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL V!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL X!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRL Z!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN F!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN G!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN H!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN J!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN K!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN M!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN N!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN Q!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN U!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN V!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN X!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRN Z!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC F!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC G!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC H!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC J!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC K!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC M!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC N!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC Q!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC U!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC V!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC X!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%PRC Z!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,n/a,n/a
%NBI F!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI G!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI H!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI J!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI K!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI M!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI N!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI Q!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI U!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI V!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI X!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%NBI Z!-IEU,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC F!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC G!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC H!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC J!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC K!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC M!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC N!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC Q!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC U!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC V!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC X!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%IBC Z!-IEU,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,N,n/a,n/a,n/a
%NGE F!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE G!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE H!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE J!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE K!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE M!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE N!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE Q!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE U!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
%NGE V!-IEU,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,N,n/a,n/a,n/a
