ice_symbol,symbol_root,product,location,molecule,native_uom,convert_to_$usg,quarter_numb,quarter_pos,component_months,component_months_names,component_symbols,symbol_1,symbol_2,symbol_root_2,product_2,location_2,molecule_2,native_uom_2,convert_to_$usg_2,quarter_numb_2,quarter_pos_2,component_months_2,component_months_names_2,component_symbols_2,spread_type
%PRL F!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%PRL G!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%PRL H!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%PRL J!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%PRL K!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%PRL M!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%PRL N!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%PRL Q!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%PRL U!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%PRL V!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%PRL X!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%PRL Z!-IEU,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%PRN F!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%PRN G!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%PRN H!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%PRN J!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
%PRN K!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,K,MAY,n/a,,,,,,,,,,,,,,outright
%PRN M!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,M,JUN,n/a,,,,,,,,,,,,,,outright
%PRN N!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,N,JUL,n/a,,,,,,,,,,,,,,outright
%PRN Q!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,Q,AUG,n/a,,,,,,,,,,,,,,outright
%PRN U!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,U,SEP,n/a,,,,,,,,,,,,,,outright
%PRN V!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,V,OCT,n/a,,,,,,,,,,,,,,outright
%PRN X!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,X,NOV,n/a,,,,,,,,,,,,,,outright
%PRN Z!-IEU,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,N,n/a,Z,DEC,n/a,,,,,,,,,,,,,,outright
%PRC F!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,F,JAN,n/a,,,,,,,,,,,,,,outright
%PRC G!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,G,FEB,n/a,,,,,,,,,,,,,,outright
%PRC H!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,H,MAR,n/a,,,,,,,,,,,,,,outright
%PRC J!-IEU,PRC,PROPANE,CONWAY,C3,$/usg,n/a,N,n/a,J,APR,n/a,,,,,,,,,,,,,,outright
